Title,Sale Price,Regular Price,Sale Percentage
inFAMOUS Second Son,$9.99,$19.99,50%
Terraria: PS4™ Edition,$9.99,$19.99,50%
Assassin’s Creed® Origins Gold Edition,$9.99,$99.99,90%
Bugsnax,$9.99,$24.99,60%
DOOM Eternal Standard Edition,$9.99,$39.99,75%
Deer Hunting Camp,$9.99,$19.99,50%
Little Nightmares II PS4 & PS5,$9.89,$29.99,67%
theHunter: Call of the Wild™ - Alberta Hunting Preserve,$9.59,$11.99,20%
ACE COMBAT™7: SKIES UNKNOWN,$9.59,$59.99,84%
Bully,$8.99,$14.99,40%
Assassin's Creed® Odyssey,$8.99,$59.99,85%
Max Payne®,$8.99,$14.99,40%
Tom Clancy’s Ghost Recon® Wildlands Standard Edition,$7.49,$49.99,85%
Outlast,$7.49,$14.99,50%
DRAGON BALL: Sparking! ZERO Deluxe Edition,$69.99,$99.99,30%
Sid Meier's Civilization® VII Deluxe Edition,$69.99,$99.99,30%
Age of Empires II + Age of Mythology Premium Edition Bundle,$64.99,$99.99,35%
Metaphor: ReFantazio Atlus 35th Digital Anniversary Edition PS4 & PS5,$54.99,$99.99,45%
The Elder Scrolls Online: 2025 Premium Edition,$51.99,$79.99,35%
Need for Speed™ Heat,$5.99,$59.99,90%
Mafia III: Definitive Edition,$5.99,$29.99,80%
Stubs™ (11|000) for MLB® The Show™ 25,$5.99,$9.99,40%
Kingdom Come: Deliverance,$5.99,$29.99,80%
Need for Speed™ Payback,$5.99,$19.99,70%
Mafia II: Definitive Edition,$5.99,$29.99,80%
Assassin's Creed Origins - Deluxe Edition,$5.99,$59.99,90%
Warhammer 40|000: Rogue Trader - Voidfarer Edition,$49.99,$99.99,50%
Star Wars Outlaws Gold Edition,$49.49,$109.99,55%
HITMAN World of Assassination - Deluxe Edition,$44.99,$99.99,55%
Mortal Kombat X,$4.99,$19.99,75%
Batman™: Arkham Knight,$4.99,$19.99,75%
Mad Max,$4.99,$19.99,75%
The Elder Scrolls Online,$4.99,$19.99,75%
Black Desert : Standard Edition,$4.99,$9.99,50%
Castlevania Requiem: Symphony of the Night & Rondo of Blood,$4.99,$19.99,75%
LEGO® Batman™ 3: Beyond Gotham,$4.99,$19.99,75%
Alan Wake Remastered,$4.49,$29.99,85%
Saints Row: The Third Remastered,$4.49,$29.99,85%
ROTSP: The Cosmic Hoarder Edition PS4 & PS5,$39.99,$49.99,20%
Assassin's Creed Legendary Collection,$39.99,$199.99,80%
Dead Rising Deluxe Remaster Digital Deluxe,$39.59,$59.99,34%
Horizon Call of the Mountain™,$39.59,$59.99,34%
SONIC X SHADOW GENERATIONS Digital Deluxe Edition PS4 & PS5,$35.99,$59.99,40%
Persona 3 Reload Digital Deluxe Edition PS4 & PS5,$35.99,$79.99,55%
Forza Horizon 5 Premium Add-Ons Bundle,$34.99,$49.99,30%
UFC® 5 Ultimate Edition,$34.99,$99.99,65%
Call of Duty®: Modern Warfare® III - Cross-Gen Bundle,$34.99,$69.99,50%
Tom Clancy's Rainbow Six Siege X - Ultimate Edition,$33.99,$39.99,15%
Avatar: Frontiers of Pandora™ Ultimate Edition,$32.49,$129.99,75%
Planet Coaster 2,$32.49,$49.99,35%
Echoes of the End,$31.99,$39.99,20%
Control: Ultimate Edition,$3.99,$39.99,90%
SONIC X SHADOW GENERATIONS PS4 & PS5,$29.99,$49.99,40%
Sackboy: A Big Adventure Digital Deluxe Edition PS4 & PS5,$29.39,$69.99,58%
Age of Empires II: Definitive Edition - Standard Edition,$27.99,$39.99,30%
Assassin's Creed Valhalla - Complete Edition,$27.99,$139.99,80%
Call of Duty®: Modern Warfare® II - Cross-Gen Bundle,$27.99,$69.99,60%
Lost Records: Bloom & Rage,$27.99,$39.99,30%
theHunter: Call of the Wild™ - Hunting Pro Pack,$26.99,$44.99,40%
The Midnight Walk,$25.99,$39.99,35%
Warhammer 40|000: Rogue Trader,$24.99,$49.99,50%
Sea of Thieves: 2025 Deluxe Edition,$24.99,$49.99,50%
The Sims™ 4 Life & Death Expansion Pack,$24.79,$39.99,38%
LOLLIPOP CHAINSAW RePOP,$24.74,$44.99,45%
Call of Duty®: Black Ops Cold War - Cross-Gen Bundle PS4® & PS5®,$24.49,$69.99,65%
OCTOPATH TRAVELER PS4＆PS5,$23.99,$59.99,60%
Date Everything!,$23.99,$29.99,20%
Persona 5 Tactica Digital Deluxe PS4 & PS5,$23.99,$79.99,70%
Jujutsu Kaisen Cursed Clash PS4 & PS5,$23.99,$59.99,60%
Persona 5 Royal,$20.99,$59.99,65%
Dead Island 2 Ultimate Edition,$20.99,$69.99,70%
Grand Theft Auto V: Premium Edition & Great White Shark Card Bundle,$20.24,$44.99,55%
Marvel's Spider-Man: Miles Morales PS4 & PS5,$19.99,$49.99,60%
Call of Duty®: Modern Warfare® Remastered,$19.99,$39.99,50%
Tony Hawk's™ Pro Skater™ 1 + 2 - Cross-Gen Deluxe Bundle,$19.99,$49.99,60%
The Sims™ 4 Seasons,$19.99,$39.99,50%
CRISIS CORE –FINAL FANTASY VII– REUNION PS4 & PS5,$19.99,$49.99,60%
The Sims™ 4 City Living,$19.99,$39.99,50%
The Sims™ 4 For Rent Expansion Pack,$19.99,$39.99,50%
SnowRunner,$19.99,$39.99,50%
Life is Strange Remastered Collection,$19.99,$39.99,50%
The Sims™ 4 Growing Together Expansion Pack,$19.99,$39.99,50%
Alien: Rogue Incursion VR,$19.99,$39.99,50%
The Sims™ 4 Cottage Living Expansion Pack,$19.99,$39.99,50%
The Sims™ 4 Get to Work,$19.99,$39.99,50%
The Sims™ 4 Island Living,$19.99,$39.99,50%
DRAGON BALL Z: KAKAROT Season Pass 2,$19.99,$39.99,50%
ACE COMBAT™7: SKIES UNKNOWN - TOP GUN: Maverick Ultimate Edition,$19.99,$99.99,80%
Call of Duty®: WWII - Gold Edition,$19.79,$59.99,67%
Call of Duty®: Ghosts Gold Edition,$19.79,$59.99,67%
Crash Bandicoot™ 4: It’s About Time,$19.79,$59.99,67%
Call of Duty®: Advanced Warfare Gold Edition,$19.79,$59.99,67%
Call of Duty®: Infinite Warfare,$19.79,$59.99,67%
Diablo III: Eternal Collection,$19.79,$59.99,67%
Wildgate,$19.79,$29.99,34%
Tales of Arise - Beyond the Dawn Edition PS4 & PS5,$19.79,$59.99,67%
Cuphead & The Delicious Last Course,$18.89,$26.99,30%
DayZ Frostline,$18.08,$26.99,33%
Divinity: Original Sin 2 - Definitive Edition,$17.99,$59.99,70%
Assassin's Creed Odyssey - Ultimate Edition,$17.99,$119.99,85%
Fallout 76: Atomic Angler Bundle,$17.99,$29.99,40%
Avatar: Frontiers of Pandora™,$17.49,$69.99,75%
Raft,$16.74,$24.99,33%
Mortal Kombat™ 1: Khaos Reigns Expansion,$16.49,$49.99,67%
The Elder Scrolls V: Skyrim Anniversary Edition - PS5 & PS4,$16.49,$49.99,67%
Hogwarts Legacy: Digital Deluxe Edition,$15.99,$79.99,80%
Dead Space Digital Deluxe Edition,$15.99,$79.99,80%
The Outlast Trials Deluxe Edition,$14.99,$49.99,70%
Spyro™ Reignited Trilogy,$13.99,$39.99,65%
Gotham Knights: Deluxe,$13.49,$89.99,85%
Far Cry® 5 Gold Edition,$13.49,$89.99,85%
Tomb Raider: Definitive Survivor Trilogy,$12.49,$49.99,75%
Battle for Brooklyn DLC - Tom Clancy's The Division 2,$11.99,$14.99,20%
Destiny 2: The Final Shape,$11.99,$29.99,60%
Trailmakers,$11.99,$29.99,60%
Assassin’s Creed® The Ezio Collection,$11.99,$39.99,70%
Assassin's Creed Valhalla,$11.99,$59.99,80%
The Quarry - Deluxe Edition for PS4™ & PS5™,$11.99,$79.99,85%
Beam Driver,$10.49,$14.99,30%
Psychonauts,$1.99,$9.99,80%
